n_components,aic,bic,lower_bound,converged,n_iter,min_component_size,max_component_size
2,58538.19742234014,58808.068917431556,-5.478156836872305,True,9,918,4418
3,56129.171023196825,56537.269381627746,-5.248328023397782,True,15,351,2814
4,55669.83491567195,56216.16013744237,-5.201747494886183,True,19,306,2144
5,55270.47787624685,55955.02996135678,-5.1600840389844445,True,41,206,1554
6,55396.20486437537,56218.98381282481,-5.1682244545682305,True,22,260,2000
7,55016.29681783575,55977.30262962468,-5.128687150077197,True,38,228,1487
8,54909.07676581103,56008.30944093947,-5.114678711950475,True,49,70,1486
