,regime_0,regime_1,regime_2,regime_3
regime_0,0.9720443470459464,0.025853648385297186,1.4484012751872035e-35,0.0021020045687564592
regime_1,0.02495669139883938,0.9535264810858608,0.019672685079231967,0.0018441424360679589
regime_2,4.018424623230727e-127,0.024468000276534143,0.9642762081931499,0.011255791530315968
regime_3,4.6412238438437716e-111,0.005346875969130617,0.036039553064145614,0.9586135709667237
