regime,regime_name,count,pct_obs,spy_mean_daily_return,spy_conditional_annualized_return,spy_annualized_vol,spy_hit_rate,avg_spy_drawdown,mean_vix,mean_spy_rv_20d,PC1_mean,PC2_mean,PC3_mean,stress_score,avg_max_filtered_probability
0,R0_calm_bull,1114,0.2733071638861629,0.0006487740877323779,0.17761483916779594,0.08036318166983362,0.5583482944344704,-0.008102165804148033,12.792289051590103,0.08195985911615769,0.035275154519067944,-0.03259837416244034,0.009750545402074888,-1.0308607446309044,0.9750081866155057
1,R1_steady_risk_on,1586,0.3891069676153091,0.0006773927463677501,0.1861383804822121,0.1192215311728342,0.5687263556116016,-0.037715164990533956,16.463808326673085,0.12101585631751666,0.03359660816990938,-0.009750066397361421,0.010205973778820914,-0.7129661032371729,0.9616135347100184
2,R2_risk_on_chop,1019,0.25,0.00027345176797568475,0.0713396187387291,0.18821162960323048,0.5328753680078508,-0.08897558677371953,22.431815504910784,0.18762892627217279,-0.029456116083724105,0.060953335603394256,-0.008446856053377264,0.28597667068296306,0.9622929230366475
3,R3_macro_stress,357,0.08758586849852797,0.00026140523355692476,0.06809225602839214,0.3910954058045951,0.5294117647058824,-0.15055544247296876,33.26845944829348,0.34528681673926065,-0.0007932893685101962,-0.09048176842756543,0.02001022636303517,1.4578501771851144,0.9531173457829356
