n_states,log_likelihood,aic,bic,converged,n_iter,min_state_size,max_state_size
2,-27283.12777625761,54652.25555251522,54935.291510781826,True,23,1856,3480
3,-24632.47091312578,49400.94182625156,49848.53357420805,True,118,656,2392
4,-22748.473169146597,45686.94633829319,46312.258339114764,True,71,565,1708
5,-21724.148533125244,43696.29706625049,44512.493783112324,True,199,489,1372
6,-20854.326106954588,42018.652213909176,43038.89810998647,True,160,264,1450
