k,inertia,silhouette,min_cluster_size,max_cluster_size
2,20898.569864843965,0.5024043632695485,511,4825
3,18348.153300095655,0.17080466081358742,312,2965
4,16487.134427763518,0.1945352875879974,188,2840
5,14898.72106793065,0.17655138270107484,85,2330
6,13592.935019065088,0.17543313737075236,77,1996
7,12789.876733853,0.18235710693770943,48,1997
8,12006.799422106264,0.18357019741569547,40,1909
