strategy,start,end,observations,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,hit_rate,avg_exposure,max_exposure,avg_daily_turnover,total_turnover,total_transaction_cost
buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
hard_regime_filter,2010-02-18,2026-05-01,4076,2.470287870711833,0.07996149032007849,0.10284309048503783,0.7996473557639159,-0.17348462392965358,0.4609139905822555,0.5049067713444554,0.7871687929342492,1.0,0.01717369970559372,70.0,0.007
probability_scaled,2010-02-18,2026-05-01,4076,2.557963045350687,0.08162870510259501,0.10194103057545795,0.8209447834122111,-0.1800770442890114,0.453298783445082,0.5458783120706575,0.7861994581884153,0.9999999999985055,0.01939954722847704,79.07255450327241,0.007907255450327243
