,missing_count,missing_pct
SPY_rv_20d,1286,0.1942011476895198
SPY_rv_60d,1286,0.1942011476895198
vix_close,1286,0.1942011476895198
vix_log_change,1286,0.1942011476895198
spy_ret,1227,0.1852914527333132
PC1,1227,0.1852914527333132
PC2,1227,0.1852914527333132
PC3,1227,0.1852914527333132
spy_close,0,0.0
spy_cum_log_ret,0,0.0
spy_drawdown,0,0.0
