window,label,start,end,trading_days,spy_total_return,spy_annualized_vol,spy_hit_rate,spy_max_drawdown,spy_worst_day,spy_best_day,mean_vix,max_vix,mean_spy_rv_20d,max_spy_rv_20d,PC1_mean,PC1_min,PC1_max,PC2_mean,PC2_min,PC2_max,PC3_mean,PC3_min,PC3_max
gfc_2008,Global Financial Crisis,2007-10-09,2009-03-09,356,-0.5476740662998131,0.38024875339610686,0.4887640449438202,-0.5518943928486586,-0.1036375066472468,0.13557717507423206,32.67702245176508,80.86000061035156,0.31713400034558703,0.9397134992732571,-0.3452480820150306,-13.180587078875378,14.443026072967012,0.005507513199440722,-5.926061284569299,7.146370212488223,-0.0415533781370219,-6.375424579330026,3.638597473196098
covid_2020,COVID Crash,2020-02-19,2020-03-23,24,-0.3340035148206685,0.7638660264576184,0.2916666666666667,-0.33717258279330087,-0.11588664490359335,0.08202793929480467,46.423333485921226,82.69000244140625,0.4516008420003104,0.8340124075882553,-2.338048058364157,-17.686377428370164,10.07784641466204,-0.05016800379401561,-5.868822744123,5.337547435890444,0.07665829272761361,-5.326148295420045,4.38170903835857
rates_2022,Rates / Inflation Bear Market,2022-01-03,2022-10-12,196,-0.24059246228181394,0.24236889072470977,0.4336734693877551,-0.24496406344077704,-0.04445621633206098,0.03129884132728655,26.026020497691874,36.45000076293945,0.23252897404576817,0.35407707514907966,-0.20631379902064872,-6.030142008241056,4.299334152055903,-0.22037976636960188,-4.600861955721075,3.8073412146999326,-0.1887605195208597,-3.4166493612722424,2.3918117031308306
