regime,regime_name,count,pct_obs,spy_mean_daily_return,spy_conditional_annualized_return,spy_annualized_vol,spy_hit_rate,avg_spy_drawdown,mean_vix,mean_spy_rv_20d,PC1_mean,PC2_mean,PC3_mean,stress_score,avg_max_probability,avg_probability_entropy
0,R0_calm_bull,1518,0.28448275862068967,0.0015073036001447067,0.46205138422174885,0.06367269462790431,0.6389986824769434,-0.025668010626795277,12.53640975060042,0.0901569032024712,0.1519449022576397,0.02249510843082065,0.05412418373613537,-0.9523382477261816,0.8054926988003881,0.3103278285610708
1,R1_cross_asset_risk_on,1554,0.2912293853073463,0.000840838914015967,0.2360136545339272,0.11270645542948712,0.5431145431145431,-0.04416408062888025,15.995257399717353,0.11180204939555385,0.07216502151462008,-0.024749726372762505,-0.04757657310857101,-0.7296936162710221,0.7105607873673874,0.4398288101630773
2,R2_risk_on_chop,1372,0.2571214392803598,0.0008159583509853189,0.2282882143772653,0.15549929948933128,0.5335276967930029,-0.09939251533132601,21.42125364086718,0.1797524042795507,0.03796019280016327,0.16594739670660677,-0.0019966318285117176,-0.40667579385035185,0.7618047297520573,0.35867315789310783
3,R3_macro_stress,686,0.1285607196401799,-0.0021926935444839964,-0.4245245862101165,0.28614936270227914,0.4446064139941691,-0.1663095887731894,28.276151616788813,0.23945434961566903,-0.3363121804802227,-0.3319771336343032,-0.02827531404545329,0.2854819937525376,0.8001847649756507,0.2934769335692691
4,R4_high_vol_bear,206,0.03860569715142429,-0.005002664203440865,-0.7165363490184116,0.604714307961229,0.441747572815534,-0.3082829601083609,47.394902970027,0.5532169294806921,-0.7777001581888965,0.031011620243844875,0.03412457409821747,1.803225664095018,0.9349513641903097,0.0923874738748922
