,PC1,PC2,PC3,PC4,PC5
SPY,0.5727099056243433,0.06124185811262557,0.10755398659686011,-0.0991180303357528,0.8042764169389477
QQQ,0.5538057002725344,0.07518548832080936,0.16639698299945968,-0.6393961146998219,-0.5011297648783783
IWM,0.5515346698340917,0.0682148356213321,0.10225568737003332,0.7613937876678857,-0.31777274690159735
TLT,-0.24528307853804782,0.5683553874838341,0.7840185525833525,0.034303147460665075,0.030766348181012478
GLD,0.030794962238986166,0.8141962090799305,-0.5793124093452399,-0.021237201891384123,-0.009072874682664723
