year,buy_and_hold,hard_regime_filter,probability_scaled
2010,0.1628750722833412,0.08182201219298912,0.09141225064802883
2011,0.018949985900120314,-0.02532702857273572,-0.028323473627755225
2012,0.15990322849024663,0.08273910091870618,0.08786126420608253
2013,0.323077740874516,0.28599673965672223,0.29918234335726224
2014,0.1346382915704598,0.09249577082887384,0.09394175626879497
2015,0.01234231018370946,-0.054667802322061476,-0.0520804572503607
2016,0.11997908787131983,0.09849593587908467,0.09579163270022861
2017,0.2170537879525798,0.2170537879525798,0.21701169925829
2018,-0.04568957900781867,-0.060952002912252,-0.05758238032007612
2019,0.3122384546666339,0.20722582879135154,0.19836476265626568
2020,0.18331634381391715,0.03695582394687036,0.0344027110244578
2021,0.2872876222956082,0.14697169170912572,0.14103551822649707
2022,-0.18175374791126064,-0.15380914707107685,-0.16214595940976373
2023,0.26175803310593126,0.2011523807043032,0.2002944168875216
2024,0.24886459603923305,0.1667265014176218,0.16331545063092512
2025,0.17719061307023543,0.07590970765150407,0.08622991768224808
2026,0.061468219592848206,-0.00488321764145494,0.013356396266827497
